country name,postcode,
UK,L18,"""L18"","
UK,L19,"""L19"","
UK,L2,"""L2"","
UK,L20,"""L20"","
UK,L21,"""L21"","
UK,L22,"""L22"","
UK,L23,"""L23"","
UK,L24,"""L24"","
UK,L25,"""L25"","
UK,L26,"""L26"","
UK,L27,"""L27"","
UK,L28,"""L28"","
UK,L29,"""L29"","
UK,L3,"""L3"","
UK,L30,"""L30"","
UK,L31,"""L31"","
UK,L32,"""L32"","
UK,L33,"""L33"","
UK,L34,"""L34"","
UK,L35,"""L35"","
UK,L36,"""L36"","
UK,L37,"""L37"","
UK,L38,"""L38"","
UK,L39,"""L39"","
UK,L4,"""L4"","
UK,L40,"""L40"","
UK,L5,"""L5"","
UK,L6,"""L6"","
UK,L67,"""L67"","
UK,L68,"""L68"","
UK,L69,"""L69"","
UK,L7,"""L7"","
UK,L70,"""L70"","
UK,L71,"""L71"","
UK,L72,"""L72"","
UK,L73,"""L73"","
UK,L74,"""L74"","
UK,L75,"""L75"","
UK,L8,"""L8"","
UK,L9,"""L9"","
UK,LA1,"""LA1"","
UK,LA10,"""LA10"","
UK,LA11,"""LA11"","
UK,LA12,"""LA12"","
UK,LA13,"""LA13"","
UK,LA14,"""LA14"","
UK,LA15,"""LA15"","
UK,LA16,"""LA16"","
UK,LA17,"""LA17"","
UK,LA18,"""LA18"","
UK,LA19,"""LA19"","
UK,LA2,"""LA2"","
UK,LA20,"""LA20"","
UK,LA21,"""LA21"","
UK,LA22,"""LA22"","
UK,LA23,"""LA23"","
UK,LA3,"""LA3"","
UK,LA4,"""LA4"","
UK,LA5,"""LA5"","
UK,LA6,"""LA6"","
UK,LA7,"""LA7"","
UK,LA8,"""LA8"","
UK,LA9,"""LA9"","
UK,M1,"""M1"","
UK,M11,"""M11"","
UK,M12,"""M12"","
UK,M13,"""M13"","
UK,M14,"""M14"","
UK,M15,"""M15"","
UK,M16,"""M16"","
UK,M17,"""M17"","
UK,M18,"""M18"","
UK,M19,"""M19"","
UK,M2,"""M2"","
UK,M20,"""M20"","
UK,M21,"""M21"","
UK,M22,"""M22"","
UK,M23,"""M23"","
UK,M24,"""M24"","
UK,M25,"""M25"","
UK,M26,"""M26"","
UK,M27,"""M27"","
UK,M28,"""M28"","
UK,M29,"""M29"","
UK,M3,"""M3"","
UK,M30,"""M30"","
UK,M31,"""M31"","
UK,M32,"""M32"","
UK,M33,"""M33"","
UK,M34,"""M34"","
UK,M35,"""M35"","
UK,M38,"""M38"","
UK,M4,"""M4"","
UK,M40,"""M40"","
UK,M41,"""M41"","
UK,M43,"""M43"","
UK,M44,"""M44"","
UK,M45,"""M45"","
UK,M46,"""M46"","
UK,M5,"""M5"","
UK,M50,"""M50"","
UK,M6,"""M6"","
UK,M60,"""M60"","
UK,M61,"""M61"","
UK,M7,"""M7"","
UK,M8,"""M8"","
UK,M9,"""M9"","
UK,M90,"""M90"","
UK,M99,"""M99"","
